PO Number,Wayfair SKU,Product ID,Delivery Date,Incident Type,Incident or Return,Comment,Photos,Image ID,Image for Incident or Return,Image URL,Parcel Type,Buyer's Remorse Return Count,Total Incidents Count,Lost Incidents Count,Damage Incidents Count,Defect Incidents Count,Misinformation Incidents Count,Mis-Shipped Incidents Count,Missing Parts Incidents Count,Other Incidents Count,Total Deductions,Total Deductions Currency,Improvement Plan,Improvement Plan Start Date,Improvement Plan Comment
CS599929109,MRCR8470,889048290273,2025-07-18,Damaged,Incident,Incident: Huge cut in the middle of the rug. Stains and odor.,4,360391558,Incident,https://assets.wfcdn.com/im/09072470/compr-r85/3603/360391558/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS599929109,MRCR8470,889048290273,2025-07-18,Damaged,Incident,Incident: Huge cut in the middle of the rug. Stains and odor.,4,360391556,Incident,https://assets.wfcdn.com/im/74777576/compr-r85/3603/360391556/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS599929109,MRCR8470,889048290273,2025-07-18,Damaged,Incident,Incident: Huge cut in the middle of the rug. Stains and odor.,4,360391555,Incident,https://assets.wfcdn.com/im/69218951/compr-r85/3603/360391555/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS599929109,MRCR8470,889048290273,2025-07-18,Damaged,Incident,Incident: Huge cut in the middle of the rug. Stains and odor.,4,360391557,Incident,https://assets.wfcdn.com/im/80336201/compr-r85/3603/360391557/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS599993675,LARK2633,683726471400,2025-07-18,Damaged,Incident,Incident: Chipped along the edge. See ticket SCT-2488004,1,360458864,Incident,https://assets.wfcdn.com/im/55627516/compr-r85/3604/360458864/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS598462367,FV78916,889048783775,2025-07-14,Damaged,Incident,Incident: scratches and dents,3,359510526,Incident,https://assets.wfcdn.com/im/58909260/compr-r85/3595/359510526/default_image.jpg,Large,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS598462367,FV78916,889048783775,2025-07-14,Damaged,Incident,Incident: scratches and dents,3,359510528,Incident,https://assets.wfcdn.com/im/70026510/compr-r85/3595/359510528/default_image.jpg,Large,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS598462367,FV78916,889048783775,2025-07-14,Damaged,Incident,Incident: scratches and dents,3,359510521,Incident,https://assets.wfcdn.com/im/68883865/compr-r85/3595/359510521/default_image.jpg,Large,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS597268657,FV95928,195058411103,2025-07-08,Damaged,Incident,Incident: Part A Has splinters and is pulling on clothes and splinters in fingers.,1,359492368,Incident,https://assets.wfcdn.com/im/55761521/compr-r85/3594/359492368/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CA588595183,SSET1832,889048006003,2025-07-01,Damaged,Incident,Incident: The upper latte cannot be screwed because the hole in which it's suppose to screw in is completely over sized so the latte cannot hold.,2,346260027,Incident,https://assets.wfcdn.com/im/48621390/compr-r85/3462/346260027/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,15.36,USD,,,
CA588595183,SSET1832,889048006003,2025-07-01,Damaged,Incident,Incident: The upper latte cannot be screwed because the hole in which it's suppose to screw in is completely over sized so the latte cannot hold.,2,346224333,Incident,https://assets.wfcdn.com/im/33811300/compr-r85/3462/346224333/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,15.36,USD,,,
CS594862306,FV75959,889048618022,2025-06-18,Damaged,Incident,"Incident: defect,crack ,crack ,the first lamp has cracks and the second lamp is crooked ,the first lamp has cracks and the second lamp is crooked",6,353391504,Incident,https://assets.wfcdn.com/im/49308367/compr-r85/3533/353391504/default_image.jpg,Small,0,2,0,4,2,0,0,0,0,15.02,USD,,,
CS594862306,FV75959,889048618022,2025-06-18,Damaged,Incident,"Incident: defect,crack ,crack ,the first lamp has cracks and the second lamp is crooked ,the first lamp has cracks and the second lamp is crooked",6,353391497,Incident,https://assets.wfcdn.com/im/72385672/compr-r85/3533/353391497/default_image.jpg,Small,0,2,0,4,2,0,0,0,0,15.02,USD,,,
CS594862306,FV75959,889048618022,2025-06-18,Damaged,Incident,"Incident: defect,crack ,crack ,the first lamp has cracks and the second lamp is crooked ,the first lamp has cracks and the second lamp is crooked",6,353391505,Incident,https://assets.wfcdn.com/im/54866992/compr-r85/3533/353391505/default_image.jpg,Small,0,2,0,4,2,0,0,0,0,15.02,USD,,,
CS594862306,FV75959,889048618022,2025-06-18,Damaged,Incident,"Incident: defect,crack ,crack ,the first lamp has cracks and the second lamp is crooked ,the first lamp has cracks and the second lamp is crooked",6,353391507,Incident,https://assets.wfcdn.com/im/28983054/compr-r85/3533/353391507/default_image.jpg,Small,0,2,0,4,2,0,0,0,0,15.02,USD,,,
CS594862306,FV75959,889048618022,2025-06-18,Damaged,Incident,"Incident: defect,crack ,crack ,the first lamp has cracks and the second lamp is crooked ,the first lamp has cracks and the second lamp is crooked",6,353391500,Incident,https://assets.wfcdn.com/im/72926133/compr-r85/3533/353391500/default_image.jpg,Small,0,2,0,4,2,0,0,0,0,15.02,USD,,,
CS594862306,FV75959,889048618022,2025-06-18,Damaged,Incident,"Incident: defect,crack ,crack ,the first lamp has cracks and the second lamp is crooked ,the first lamp has cracks and the second lamp is crooked",6,353391496,Incident,https://assets.wfcdn.com/im/66827047/compr-r85/3533/353391496/default_image.jpg,Small,0,2,0,4,2,0,0,0,0,15.02,USD,,,
CS592547754,JSMN1296,195058219419,2025-06-04,Damaged,Incident,,2,350486021,Incident,https://assets.wfcdn.com/im/95861765/compr-r85/3504/350486021/default_image.jpg,Large,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS592547754,JSMN1296,195058219419,2025-06-04,Damaged,Incident,,2,350486022,Incident,https://assets.wfcdn.com/im/90303140/compr-r85/3504/350486022/default_image.jpg,Large,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS591885123,ZPCD5896,889048547582,2025-05-30,Damaged,Incident,Incident: One stretcher has broken off a table leg. SCT-2368782,3,349738294,Incident,https://assets.wfcdn.com/im/06125081/compr-r85/3497/349738294/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS591885123,ZPCD5896,889048547582,2025-05-30,Damaged,Incident,Incident: One stretcher has broken off a table leg. SCT-2368782,3,349738293,Incident,https://assets.wfcdn.com/im/00566456/compr-r85/3497/349738293/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS591885123,ZPCD5896,889048547582,2025-05-30,Damaged,Incident,Incident: One stretcher has broken off a table leg. SCT-2368782,3,349738350,Incident,https://assets.wfcdn.com/im/65302598/compr-r85/3497/349738350/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS592225412,FV80295,198162392122,2025-05-30,Damaged,Incident,Incident: .,4,354743767,Incident,https://assets.wfcdn.com/im/73593116/compr-r85/3547/354743767/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS592225412,FV80295,198162392122,2025-05-30,Damaged,Incident,Incident: .,4,354743770,Incident,https://assets.wfcdn.com/im/25088004/compr-r85/3547/354743770/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS592225412,FV80295,198162392122,2025-05-30,Damaged,Incident,Incident: .,4,350733699,Incident,https://assets.wfcdn.com/im/61899869/compr-r85/3507/350733699/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS592225412,FV80295,198162392122,2025-05-30,Damaged,Incident,Incident: .,4,354743771,Incident,https://assets.wfcdn.com/im/19529379/compr-r85/3547/354743771/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,0,N/A,,,
CS591808175,FVAB8065,198162160202,2025-05-29,Damaged,Incident,"Incident: It seems like the stain is coming off on cushions?  It is only on underside of seat cushions and one back cushion.,It seems like the stain is coming off on cushions?  It is only on underside of seat cushions and one back cushion.",4,349318455,Incident,https://assets.wfcdn.com/im/4040190/compr-r85/3493/349318455/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,21.38,USD,,,
CS591808175,FVAB8065,198162160202,2025-05-29,Damaged,Incident,"Incident: It seems like the stain is coming off on cushions?  It is only on underside of seat cushions and one back cushion.,It seems like the stain is coming off on cushions?  It is only on underside of seat cushions and one back cushion.",4,349318637,Incident,https://assets.wfcdn.com/im/48281736/compr-r85/3493/349318637/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,21.38,USD,,,
CS591808175,FVAB8065,198162160202,2025-05-29,Damaged,Incident,"Incident: It seems like the stain is coming off on cushions?  It is only on underside of seat cushions and one back cushion.,It seems like the stain is coming off on cushions?  It is only on underside of seat cushions and one back cushion.",4,349318646,Incident,https://assets.wfcdn.com/im/64828698/compr-r85/3493/349318646/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,21.38,USD,,,
CS591808175,FVAB8065,198162160202,2025-05-29,Damaged,Incident,"Incident: It seems like the stain is coming off on cushions?  It is only on underside of seat cushions and one back cushion.,It seems like the stain is coming off on cushions?  It is only on underside of seat cushions and one back cushion.",4,349318423,Incident,https://assets.wfcdn.com/im/87469309/compr-r85/3493/349318423/default_image.jpg,Small,0,1,0,1,1,0,0,0,0,21.38,USD,,,
CS592017835,BGLS4809,889048273061,2025-05-29,Damaged,Incident,Incident: the rugs are curled on the corners. i have attempted to place heavy items such as books on the corners but it does not correct the problem.,4,350486475,Incident,https://assets.wfcdn.com/im/74282306/compr-r85/3504/350486475/default_image.jpg,Small,0,2,0,2,2,0,0,0,0,0,N/A,,,
CS592017835,BGLS4809,889048273061,2025-05-29,Damaged,Incident,Incident: the rugs are curled on the corners. i have attempted to place heavy items such as books on the corners but it does not correct the problem.,4,350486478,Incident,https://assets.wfcdn.com/im/42393569/compr-r85/3504/350486478/default_image.jpg,Small,0,2,0,2,2,0,0,0,0,0,N/A,,,
CS592017835,BGLS4809,889048273061,2025-05-29,Damaged,Incident,Incident: the rugs are curled on the corners. i have attempted to place heavy items such as books on the corners but it does not correct the problem.,4,350486472,Incident,https://assets.wfcdn.com/im/04009115/compr-r85/3504/350486472/default_image.jpg,Small,0,2,0,2,2,0,0,0,0,0,N/A,,,
CS592017835,BGLS4809,889048273061,2025-05-29,Damaged,Incident,Incident: the rugs are curled on the corners. i have attempted to place heavy items such as books on the corners but it does not correct the problem.,4,350486468,Incident,https://assets.wfcdn.com/im/45021918/compr-r85/3504/350486468/default_image.jpg,Small,0,2,0,2,2,0,0,0,0,0,N/A,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,349053497,Incident,https://assets.wfcdn.com/im/96675188/compr-r85/3490/349053497/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,349053501,Incident,https://assets.wfcdn.com/im/58538928/compr-r85/3490/349053501/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,358628060,Incident,https://assets.wfcdn.com/im/23758292/compr-r85/3586/358628060/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,349053511,Incident,https://assets.wfcdn.com/im/49012881/compr-r85/3490/349053511/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,349053500,Incident,https://assets.wfcdn.com/im/52980303/compr-r85/3490/349053500/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,349053504,Incident,https://assets.wfcdn.com/im/19752493/compr-r85/3490/349053504/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,358626425,Incident,https://assets.wfcdn.com/im/45612867/compr-r85/3586/358626425/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,349053509,Incident,https://assets.wfcdn.com/im/08040632/compr-r85/3490/349053509/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,349053506,Incident,https://assets.wfcdn.com/im/08635243/compr-r85/3490/349053506/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,349053496,Incident,https://assets.wfcdn.com/im/02233813/compr-r85/3490/349053496/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS590085402,JSMN1296,195058219419,2025-05-28,Damaged,Incident,"Incident: Multiple attempts at getting the correct part sent to him. Each time they are incorrect. Part A - Back Frame damaged needs replacement. ,Damaged ,Damaged",11,349053495,Incident,https://assets.wfcdn.com/im/07792438/compr-r85/3490/349053495/default_image.jpg,Large,0,1,0,2,2,0,0,1,0,34.08,USD,,,
CS591426088,BKWT9096,683726406822,2025-05-28,Damaged,Incident,"Incident: chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Both Chair Back are chipped and he's requesting to have a touch paint,chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Ct states item arrived damaged.",7,349267516,Incident,https://assets.wfcdn.com/im/48442449/compr-r85/3492/349267516/default_image.jpg,Small,0,1,0,2,1,0,0,0,0,22.46,USD,,,
CS591426088,BKWT9096,683726406822,2025-05-28,Damaged,Incident,"Incident: chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Both Chair Back are chipped and he's requesting to have a touch paint,chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Ct states item arrived damaged.",7,349267515,Incident,https://assets.wfcdn.com/im/54001074/compr-r85/3492/349267515/default_image.jpg,Small,0,1,0,2,1,0,0,0,0,22.46,USD,,,
CS591426088,BKWT9096,683726406822,2025-05-28,Damaged,Incident,"Incident: chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Both Chair Back are chipped and he's requesting to have a touch paint,chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Ct states item arrived damaged.",7,349267524,Incident,https://assets.wfcdn.com/im/27855788/compr-r85/3492/349267524/default_image.jpg,Small,0,1,0,2,1,0,0,0,0,22.46,USD,,,
CS591426088,BKWT9096,683726406822,2025-05-28,Damaged,Incident,"Incident: chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Both Chair Back are chipped and he's requesting to have a touch paint,chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Ct states item arrived damaged.",7,349268043,Incident,https://assets.wfcdn.com/im/03819741/compr-r85/3492/349268043/default_image.jpg,Small,0,1,0,2,1,0,0,0,0,22.46,USD,,,
CS591426088,BKWT9096,683726406822,2025-05-28,Damaged,Incident,"Incident: chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Both Chair Back are chipped and he's requesting to have a touch paint,chair back has knot where hardware goes in that will lead to break. table top has chip underneath ,Ct states item arrived damaged.",7,349268047,Incident,https://assets.wfcdn.com/im/18414759/compr-r85/3492/349268047/default_image.jpg,Small,0,1,0,2,1,0,0,0,0,22.46,USD,,,
